REGION,Start,End,RSI,CATEGORY,TERM1PCT,TERM2PCT,TERM3PCT,TERM4PCT,AREA0,POP0,AREA1,POP1,AREA2,POP2,AREA3,POP3,AREA4,POP4,STORM_ID,REGION_CODE,YEAR,MONTH
National,3/12/2017,3/15/2017,0,0,0,0,0,0,912334,140297803,396498,84129048,167194,42351533,95148,16573042,34307,4360383,20170312_20170315_1,110,2017,3
Northeast,3/12/2017,3/15/2017,10.658,4,0.181,0.236,0.332,0.251,176160,60603632,149762,47610111,115550,25385900,23746,2808998,1960,166977,20170312_20170315_1,101,2017,3
Northern Rockies and Plains,3/12/2017,3/15/2017,0.198,0,0.859,0.141,0,0,181590,2668627,24822,199132,1037,23503,0,0,0,0,20170312_20170315_1,105,2017,3
Ohio Valley,3/12/2017,3/15/2017,0.298,0,0.854,0.146,0,0,242834,41748553,21372,4007557,2402,260230,0,0,0,0,20170312_20170315_1,103,2017,3
Southeast,3/12/2017,3/15/2017,0.263,0,0.806,0.194,0,0,55363,10347947,7207,2718822,1258,269615,0,0,0,0,20170312_20170315_1,104,2017,3
South,3/12/2017,3/15/2017,0.004,0,1,0,0,0,23015,1265720,259,35005,0,0,0,0,0,0,20170312_20170315_1,106,2017,3
Upper Midwest,3/12/2017,3/15/2017,0.945,0,0.827,0.173,0,0,233359,23663307,70393,6462820,9994,392291,0,0,0,0,20170312_20170315_1,102,2017,3
National,2/9/2017,2/10/2017,0,0,0,0,0,0,328940,93587823,153010,51931530,54950,31344848,8552,7297718,297,3565,20170209_20170210_1,110,2017,2
Northeast,2/9/2017,2/10/2017,2.154,1,0.614,0.376,0.01,0,175084,60655477,86345,38297496,19604,14874285,192,2300,0,0,20170209_20170210_1,101,2017,2
Northern Rockies and Plains,2/9/2017,2/10/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20170209_20170210_1,105,2017,2
Ohio Valley,2/9/2017,2/10/2017,0.078,0,1,0,0,0,106892,20760254,8043,975196,0,0,0,0,0,0,20170209_20170210_1,103,2017,2
Southeast,2/9/2017,2/10/2017,0,0,0,0,0,0,39218,7355222,0,0,0,0,0,0,0,0,20170209_20170210_1,104,2017,2
South,2/9/2017,2/10/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20170209_20170210_1,106,2017,2
Upper Midwest,2/9/2017,2/10/2017,0,0,0,0,0,0,7745,4816868,0,0,0,0,0,0,0,0,20170209_20170210_1,102,2017,2
National,1/5/2017,1/8/2017,0,0,0,0,0,0,871262,111985673,574822,72844753,122787,20235678,11676,1523220,1403,75937,20170105_20170108_1,110,2017,1
Northeast,1/5/2017,1/8/2017,0.738,0,0.847,0.153,0,0,110803,54122963,21660,24763388,2748,2058235,0,0,0,0,20170105_20170108_1,101,2017,1
Northern Rockies and Plains,1/5/2017,1/8/2017,0.737,0,0.444,0.389,0.086,0.081,99876,2016320,48146,378610,17951,152548,711,6203,76,1792,20170105_20170108_1,105,2017,1
Ohio Valley,1/5/2017,1/8/2017,0.113,0,0.819,0.181,0,0,105921,11530617,8524,1332448,1057,136284,0,0,0,0,20170105_20170108_1,103,2017,1
South,1/5/2017,1/8/2017,1.057,1,0.998,0.002,0,0,224057,9647104,138124,4243211,134,1654,0,0,0,0,20170105_20170108_1,106,2017,1
