STATION,STATION_ID,BEGIN_DATE,END_DATE,STATE,LATITUDE,LONGITUDE,ELEVATION_(M),SNOWFALL_(IN)
"BELLE FOURCHE, SD US",USC00390559,1908-05-31,2019-12-07,South Dakota,44.6713,-103.8511,920.5,3.5
"BIDDLE 8 SW, MT US",USC00240743,1963-10-08,2019-12-14,Montana,45.0429,-105.4799,1106.7,1
"BISON 20.3 SSE, SD US",US1SDPK0028,1998-06-16,2019-12-15,South Dakota,45.2483177185,-102.3165664673,723.9,5
"BISON 24.1 SW, SD US",US1SDPK0006,2007-06-23,2019-12-11,South Dakota,45.324012,-102.876782,848.9,2
"BISON, SD US",USC00390701,1916-04-30,2019-12-07,South Dakota,45.5286,-102.465,847.3,5
"BOWMAN, ND US",USC00320995,1915-01-01,2019-12-15,North Dakota,46.19361,-103.37138,909.2,3.9
"BOX ELDER 1.6 NE, SD US",US1SDPN0050,2014-03-31,2019-12-15,South Dakota,44.138652,-103.053226,991.8,5.5
"BOX ELDER 6.2 ESE, SD US",US1SDPN0022,2007-09-02,2019-09-12,South Dakota,44.1,-102.95,891.8,4
"BOX ELDER 8.0 NNE, SD US",US1SDMD0001,2007-05-31,2019-12-15,South Dakota,44.231776,-103.034516,883.9,5.5
"BROADUS 18.8 NNW, MT US",US1MTPR0001,2007-05-20,2019-12-14,Montana,45.66932,-105.62355,1061.9,0.5
"CAMP CROOK, SD US",USC00391294,1892-12-31,2019-12-11,South Dakota,45.5488,-103.9744,951,3.5
"CASPER 4.7 SSW, WY US",US1WYNT0053,2013-10-10,2019-12-15,Wyoming,42.766832,-106.355149,1908.7,1.2
"CHADRON 3 SW, NE US",USC00251575,1894-07-31,2019-12-14,Nebraska,42.8083,-103.0533,1031.1,2
"CHADRON 39.3 WSW, NE US",US10dawe026,2011-09-14,2019-12-15,Nebraska,42.668028,-103.066806,0,1.5
"COTTONWOOD 2 E, SD US",USC00391972,1909-05-31,2019-12-15,South Dakota,43.9611,-101.8605,723.3,3
"DOUGLAS 4.3 WSW, WY US",US1WYCV0016,2010-10-30,2019-12-15,Wyoming,42.7312886,-105.4708472,1577,1.1
"DUPREE 15 SSE, SD US",USC00392446,1963-06-30,2019-12-08,South Dakota,44.8658,-101.4672,640.1,0.5
"DUPREE, SD US",USC00392429,1921-12-31,2019-12-14,South Dakota,45.04689,-101.60228,727.9,4
"EDGEMONT 0.4 W, SD US",US1SDFR0021,2001-08-30,2019-12-15,South Dakota,43.298685,-103.834831,1069.8,0.5
"EDGEMONT, SD US",USC00392557,1948-07-31,2019-12-15,South Dakota,43.31359,-103.82151,1046.1,0.5
"EKALAKA, MT US",USC00242689,1896-11-22,2019-12-14,Montana,45.8863,-104.5478,1046.1,0.9
"ELM SPRINGS 3 ESE, SD US",USC00392647,1923-02-28,2019-12-14,South Dakota,44.3186,-102.4683,806.2,4
"FAITH 36.3 W, SD US",US1SDMD0009,2007-07-06,2019-12-15,South Dakota,44.924953,-102.762833,800.4,3
"FORT MEADE, SD US",USC00393069,1901-12-31,2019-12-14,South Dakota,44.41066,-103.47683,1008.3,8
"GORDON 5.3 E, NE US",US10sher001,2006-06-30,2019-11-18,Nebraska,42.8153,-102.1032,1079.9,1
"HARRISON 9 NE, NE US",USC00253618,2003-05-31,2019-12-15,Nebraska,42.8002,-103.7866,1228,1
"HARRISON, NE US",USC00253615,1893-02-28,2019-12-15,Nebraska,42.6858,-103.8841,1478.3,1
"HERMOSA 0.3 ENE, SD US",US1SDCS0017,2009-10-31,2019-12-15,South Dakota,43.840965,-103.185396,1004,3
"HETTINGER EXPERIMENT STATION, ND US",USC00324180,2001-06-30,2019-12-15,North Dakota,46.0044,-102.6472,823.9,5
"HILL CITY, SD US",USC00393868,1909-03-31,2019-12-15,South Dakota,43.93425,-103.55735,1507.5,5
"HOT SPRINGS 0.5 SSW, SD US",US1SDFR0001,2007-07-18,2019-04-26,South Dakota,43.426523,-103.484142,1083,4.5
"HOT SPRINGS 4.2 W, SD US",US1SDFR0030,2015-07-27,2019-12-14,South Dakota,43.443475,-103.562235,1237.5,1
"HOT SPRINGS, SD US",USC00394007,1894-01-31,2019-12-14,South Dakota,43.4377,-103.4738,1085.1,3
"INTERIOR 3 NE, SD US",USC00394184,1949-11-18,2019-12-14,South Dakota,43.7483,-101.9413,743.7,5
"KYLE 2 E, SD US",USC00394630,1956-11-30,2019-12-04,South Dakota,43.4402,-102.1431,901.6,1
"LEAD 5.5 SSW, SD US",US1SDLW0006,2007-07-03,2019-12-15,South Dakota,44.27806,-103.8092,1791.9,1.3
"LEAD, SD US",USC00394834,1909-02-28,2019-12-15,South Dakota,44.3544,-103.7431,1558.1,5.2
"LEMMON, SD US",USC00394864,1908-04-30,2019-12-14,South Dakota,45.9397,-102.1575,782.4,3
"LOST SPRINGS 11.9 NW, WY US",US1WYCV0011,2006-06-15,2019-12-15,Wyoming,42.90422,-105.06349,1545.9,0.1
